Issue Type,Title,Description,Priority,Estimate,Labels,Milestone,Assignee,Parent
Milestone,Epic 1: First Impression,"Create immersive hero section with video and glassmorphism navigation. Success: Hero loads <1.5s, video creates emotional connection in 5s",1,32,epic;week-1,,,"

"
Issue,Story 1.1: Video Background,"Implement responsive hero video with 30-second forest scenery loop, including fallback strategies for mobile and tablet devices. Acceptance: Video plays automatically on desktop, 3 scenes with smooth transitions, no audio, static poster for mobile, reduced quality for tablet, loops seamlessly, poster displays immediately.",1,12,frontend;video,Epic 1: First Impression,Dev 1,Epic 1: First Impression
Issue,Story 1.2: Glassmorphism Header,"Build persistent glassmorphism header with desktop navigation menu. Acceptance: Header persists across pages, glass effect with backdrop-filter, logo + company name on left, menu items (Home/Products/Manufacturing/Sustainability/Contact), smooth hover effects, active page indication, graceful fallback for older browsers.",1,8,frontend;components,Epic 1: First Impression,Dev 2,Epic 1: First Impression
Issue,Story 1.3: Glass Card Component,"Create reusable Astro component for glassmorphism effects. Acceptance: Configurable blur intensity (default 10px), configurable opacity (default 0.1), accepts custom classes, uses CSS custom properties, fallback for unsupported browsers, fully type-safe with TypeScript.",1,4,frontend;components,Epic 1: First Impression,Dev 2,Epic 1: First Impression
Issue,Story 1.4: Hero Content Overlay,"Implement content overlay on hero section with company logo, catchphrase, and optional CTA. Acceptance: Logo centered and visible, catchphrase clearly legible over video, glass effect on container, optional CTA button with hover effect, responsive typography, text readable even if video fails.",1,6,frontend;content,Epic 1: First Impression,Dev 1,Epic 1: First Impression
Issue,Story 1.5: Sanity Site Settings,"Create Sanity schema for site-wide settings. Acceptance: SiteSettings document type (singleton), fields (siteName/catchphrase/logo/navigationItems), image validation (max 5MB, alt text required), navigation items sortable by order, single instance enforced, all fields validated.",1,2,backend;sanity,Epic 1: First Impression,Dev 5,Epic 1: First Impression
Milestone,Epic 2: Product Discovery,"Enable B2B clients to explore 5 product categories through elegant product grid with detailed product pages, supporting A/B testing. Success: All 5 categories visible, product detail pages load <1.2s, A/B test variants implemented",1,36,epic;week-1,,,"

"
Issue,Story 2.1: Product Category Schema,"Create Sanity schema for product categories. Acceptance: ProductCategory document type, fields (name/slug/description/featuredImage/specifications/gallery/ctaText/order), image validation, gallery supports 3-5 images, specifications as structured array, slug auto-generates.",1,4,backend;sanity,Epic 2: Product Discovery,Dev 6,Epic 2: Product Discovery
Issue,Story 2.2: Products Grid Page,"Create responsive product grid page displaying all 5 categories. Acceptance: Grid layout (2 col mobile, 3 col tablet, 3-4 col desktop), each card shows name/image/description/CTA, hover effect (scale 1.05 + shadow), click navigates to detail, loading states, products sorted by order, accessible keyboard navigation.",1,10,frontend;pages,Epic 2: Product Discovery,Dev 3,Epic 2: Product Discovery
Issue,Story 2.3: Product Card Component,"Reusable product card component with glassmorphism styling. Acceptance: Glass effect on card, optimized image with srcset, text truncation (max 3 lines), smooth hover animation, accessible link wrapping entire card, loading skeleton state, support for photo/illustration variants (A/B testing).",1,8,frontend;components,Epic 2: Product Discovery,Dev 3,Epic 2: Product Discovery
Issue,Story 2.4: Product Detail Page,"Create dynamic product detail page. Acceptance: Dynamic route /products/[slug], hero image full-width, product name and description, specifications table, image gallery (3-5 images), contact CTA button, SEO meta tags, 404 page for invalid slugs.",1,10,frontend;pages,Epic 2: Product Discovery,Dev 4,Epic 2: Product Discovery
Issue,Story 2.5: Image Gallery with Lightbox,"Interactive image gallery with click-to-zoom lightbox (React island). Acceptance: Grid of 3-5 thumbnails, click opens lightbox modal, previous/next navigation, keyboard navigation (arrows, ESC), swipe gestures on mobile, close button accessible, prevents body scroll when open.",1,4,frontend;interactive,Epic 2: Product Discovery,Dev 4,Epic 2: Product Discovery
Milestone,Epic 3: Sustainability Verification,"Build trust with ESG-conscious buyers through dedicated sustainability page explaining tree-to-tree cycle, environmental practices, and certifications. Success: Clear tree-to-tree cycle explanation, visual proof of practices, page engagement >45s",1,24,epic;week-2,,,"

"
Issue,Story 3.1: Sustainability Page Schema,"Create Sanity schema for sustainability content. Acceptance: SustainabilityPage document type (singleton), fields (heroStatement/cycleSteps/practicesList/impactMetrics/certifications/futureCommitments), image support for diagrams and certification logos, rich text support, validation for required fields.",1,3,backend;sanity,Epic 3: Sustainability Verification,Dev 5,Epic 3: Sustainability Verification
Issue,Story 3.2: Sustainability Hero Section,"Create impactful hero section for sustainability page. Acceptance: Hero statement prominently displayed, background image/subtle video, glass effect on text container, scroll indicator, mobile-responsive typography, accessible heading structure.",1,5,frontend;pages,Epic 3: Sustainability Verification,Dev 1,Epic 3: Sustainability Verification
Issue,Story 3.3: Tree-to-Tree Cycle Diagram,"Create visual diagram explaining TWG's tree-to-tree sustainability cycle. Acceptance: 3-5 cycle steps visualized clearly, each step has icon/title/description, visual flow showing circular nature, mobile-friendly layout (vertical on mobile, circular on desktop), optional subtle animations on scroll, accessible for screen readers.",1,8,frontend;content,Epic 3: Sustainability Verification,Dev 1,Epic 3: Sustainability Verification
Issue,Story 3.4: Sustainability Practices Section,"Display specific sustainability practices with supporting images. Acceptance: List of practices (3-5 items), each practice has title/description/image, grid layout (2 col desktop, 1 col mobile), glass cards for each practice, optimized images with lazy loading.",1,5,frontend;content,Epic 3: Sustainability Verification,Dev 2,Epic 3: Sustainability Verification
Issue,Story 3.5: Impact Metrics & Certifications,"Display environmental impact metrics and certification logos. Acceptance: Impact metrics displayed as cards, certification logos with descriptions, responsive grid layout, optional counter animation for metrics, certification logos link to verification URLs.",1,3,frontend;content,Epic 3: Sustainability Verification,Dev 2,Epic 3: Sustainability Verification
Milestone,Epic 4: Manufacturing Transparency,"Showcase manufacturing process and quality control to build trust with quality-focused buyers. Success: Process overview clearly displayed, highlights 100% cycle control, page engagement >40s",2,20,epic;week-2,,,"

"
Issue,Story 4.1: Manufacturing Page Schema,"Create Sanity schema for manufacturing content. Acceptance: ManufacturingPage document type (singleton), fields (heroTitle/overview/processSteps/qualityControl/equipment/certifications), image support for process photos and equipment, rich text support, validation for required fields.",2,3,backend;sanity,Epic 4: Manufacturing Transparency,Dev 6,Epic 4: Manufacturing Transparency
Issue,Story 4.2: Manufacturing Page Layout,"Create manufacturing page with hero section and overview. Acceptance: Hero section with compelling title, overview section with rich text content, responsive layout (single column mobile, multi-column desktop), glass effect containers, breadcrumb navigation, SEO meta tags.",2,5,frontend;pages,Epic 4: Manufacturing Transparency,Dev 3,Epic 4: Manufacturing Transparency
Issue,Story 4.3: Process Steps Component,"Create visual component displaying 3-5 manufacturing process steps. Acceptance: Display 3-5 steps sequentially, each step shows number/title/description/image/highlights, alternating layout (image left/right) on desktop, stacked layout on mobile, step numbers visually prominent, smooth transitions.",2,6,frontend;components,Epic 4: Manufacturing Transparency,Dev 3,Epic 4: Manufacturing Transparency
Issue,Story 4.4: Quality Control Section,"Create section highlighting quality control measures. Acceptance: Section with rich text about quality control, emphasizes complete tree-to-product cycle control, visual elements (icons/images) supporting key points, call-out boxes for key statistics, responsive layout.",2,4,frontend;content,Epic 4: Manufacturing Transparency,Dev 4,Epic 4: Manufacturing Transparency
Issue,Story 4.5: Equipment Showcase (Optional),"Optional section showcasing manufacturing equipment. Acceptance: Grid of equipment items with images, each item has name/description/image, responsive grid layout, section can be hidden if no content, lazy loaded images.",3,2,frontend;content,Epic 4: Manufacturing Transparency,Dev 4,Epic 4: Manufacturing Transparency
Milestone,Epic 5: Contact and Inquiry,"Enable interested B2B buyers to easily contact TWG through simple contact form and persistent footer. Success: Contact info visible on all pages, form submission success >95%, response time expectation set",1,16,epic;week-2,,,"

"
Issue,Story 5.1: Contact Info Schema,"Create/extend Sanity schema for contact information. Acceptance: ContactInfo within SiteSettings schema, fields (email/phone/address/socialLinks/responseTime), validation for email format, phone number optional, social links with URL validation.",1,2,backend;sanity,Epic 5: Contact and Inquiry,Dev 5,Epic 5: Contact and Inquiry
Issue,Story 5.2: Footer Component,"Create persistent footer component displaying contact information. Acceptance: Footer appears on all pages, displays company name/tagline/contact email/phone/address/social media links, LinkedIn link prominently displayed, copyright notice with current year, Privacy/Terms links, glass effect styling, mobile-responsive layout.",1,4,frontend;components,Epic 5: Contact and Inquiry,Dev 6,Epic 5: Contact and Inquiry
Issue,Story 5.3: Contact Page with Form,"Create dedicated contact page with simple inquiry form (React island). Acceptance: Contact page accessible from navigation, form fields (name/company/email/message), client-side validation, loading state during submission, success confirmation message, error handling with user-friendly messages, response time expectation displayed, accessible form with proper labels.",1,6,frontend;interactive,Epic 5: Contact and Inquiry,Dev 4,Epic 5: Contact and Inquiry
Issue,Story 5.4: Contact Form API Endpoint,"Create serverless API endpoint to handle contact form submissions. Acceptance: API endpoint /api/contact accepts POST, validates form data, sends email notification to TWG, returns appropriate status codes (200/400/500), rate limiting (max 5 per IP per hour), logs submissions for tracking.",1,4,backend;api,Epic 5: Contact and Inquiry,Dev 6,Epic 5: Contact and Inquiry
